COUNTRY,Country,SERIES,Series,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
AUS,Australia,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,54401.4252961007,,
AUT,Austria,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,53902.949044976,,
BEL,Belgium,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,55590.1304610982,,
CAN,Canada,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,53198.172958054,,
CZE,Czech Republic,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,29280.7899702266,,
DNK,Denmark,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,57149.594305945,,
FIN,Finland,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,45697.556152853,,
FRA,France,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,46480.6153991188,,
DEU,Germany,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,53637.8016034603,,
GRC,Greece,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,27459.1258996487,,
HUN,Hungary,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,26223.196713398,,
IRL,Ireland,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,50490.4714068488,,
ITA,Italy,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,39189.365759204,,
JPN,Japan,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,38617.465494035,,
KOR,Korea,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,42284.789106855,,
LUX,Luxembourg,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,68680.5297308777,,
NLD,Netherlands,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,56552.2904256499,,
NOR,Norway,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,54027.4870519513,,
POL,Poland,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,31969.5680309974,,
PRT,Portugal,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,26633.7171927498,,
SVK,Slovak Republic,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,25452.386629151,,
ESP,Spain,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,38757.5699607805,,
SWE,Sweden,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,46695.3498606658,,
CHE,Switzerland,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,66566.7263187086,,
GBR,United Kingdom,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,47226.0876596286,,
USA,United States,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,65835.5776448653,,
MEX,Mexico,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,17594.4610524478,,
ISR,Israel,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,39403.1025725974,,
SVN,Slovenia,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,40219.6209682093,,
EST,Estonia,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,30296.8772624036,,
ISL,Iceland,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,68005.7936836116,,
NZL,New Zealand,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,44030.7451831187,,
CHL,Chile,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,26915.8365049051,,
LVA,Latvia,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,28453.5867518221,,
LTU,Lithuania,USDPPP,In 2019 constant prices at 2019 USD PPPs,2019,2019,USD,US Dollar,0,Units,2019,2019,28913.897758748,,
